id,lat,lon,label,connections,in_waypoints,yaw
0,12.99216461643264,80.2326822280884,waypoint,1,False,
1,12.992222114452504,80.23288607597352,waypoint,0,False,
2,12.991994735841685,80.23295849561693,green_pickup,,False,
3,12.992239,80.2306353,waypoint,4,False,
4,12.9922534,80.2306273,waypoint,"3,5",False,
5,12.9922509,80.2306226,waypoint,"4,6",False,
6,12.992247,80.230611,waypoint,"5,7",False,
7,12.9922426,80.2306006,waypoint,"6,8",False,
8,12.992231,80.2305786,waypoint,"7,9",False,
9,12.9922271,80.2305676,waypoint,"8,10",False,
10,12.9922118,80.2305424,waypoint,"9,11",False,
11,12.99221,80.2305327,waypoint,"10,12",False,
12,12.9922108,80.230529,waypoint,"11,13",False,
13,12.9921972,80.2305067,waypoint,"12,14",False,
14,12.9921925,80.2304972,waypoint,"13,15",False,
15,12.9921859,80.2304802,waypoint,"14,16",False,
16,12.9921803,80.2304599,waypoint,"15,17",False,
17,12.9921846,80.2304162,waypoint,"16,18",False,
18,12.992187,80.230398,waypoint,"17,19",False,
19,12.9921886,80.2303769,waypoint,"18,20",False,
20,12.9921877,80.2303572,waypoint,"19,21",False,
21,12.9921843,80.2303411,waypoint,"20,22",False,
22,12.9921833,80.2303415,waypoint,"21,23",False,
23,12.9921829,80.2303419,waypoint,"22,24",False,
24,12.9922166,80.2303189,waypoint,"23,25",False,
25,12.9922136,80.230302,waypoint,"24,26",False,
26,12.9922092,80.2302805,waypoint,"25,27",False,
27,12.9922075,80.2302634,waypoint,"26,28",False,
28,12.9922067,80.230246,waypoint,"27,29",False,
29,12.9922035,80.2302227,waypoint,"28,30",False,
30,12.9922016,80.2302076,waypoint,"29,31",False,
31,12.9922042,80.2301921,waypoint,"30,32",False,
32,12.992208,80.2301606,waypoint,"31,33",False,
33,12.9922093,80.2301355,waypoint,"32,34",False,
34,12.9922123,80.2301239,waypoint,"33,35",False,
35,12.9922116,80.2301154,waypoint,"34,36",False,
36,12.9922091,80.230094,waypoint,"35,37",False,
37,12.9922109,80.2300814,waypoint,"36,38",False,
38,12.99221,80.2300696,waypoint,"37,39",False,
39,12.9922172,80.2300525,waypoint,"38,40",False,
40,12.9922129,80.230036,waypoint,"39,41",False,
41,12.9922084,80.2300365,waypoint,"40,42",False,
42,12.992206,80.230036,waypoint,"41,43",False,
43,12.9922073,80.2300368,waypoint,"42,44",False,
44,12.9922077,80.2300378,waypoint,"43,45",False,
45,12.9922164,80.2300366,waypoint,"44,46",False,
46,12.9922165,80.2300407,waypoint,45,False,
